
*******   STEP   1      *** NEFF=10 CALCULATION                
    9   0.666E-04   0.749E-03   0.153E-03

*******   STEP  17      *** NEFF=10 CALCULATION                
    1   0.614E-02   0.170E-01   0.135E-01
    2   0.266E-02   0.169E-01   0.708E-02
    3   0.133E-02   0.105E-01   0.269E-02
    4   0.544E-03   0.607E-02   0.131E-02
    5   0.271E-03   0.398E-02   0.891E-03
    6   0.248E-03   0.272E-02   0.521E-03
    7   0.166E-03   0.171E-02   0.300E-03
    8   0.998E-04   0.113E-02   0.222E-03
    9   0.672E-04   0.808E-03   0.176E-03

*******   STEP  18      *** NEFF=10 CALCULATION                
    1   0.591E-02   0.161E-01   0.127E-01
    2   0.247E-02   0.158E-01   0.649E-02
    3   0.122E-02   0.966E-02   0.243E-02
    4   0.489E-03   0.569E-02   0.122E-02
    5   0.390E-03   0.380E-02   0.896E-03
    6   0.232E-03   0.239E-02   0.688E-03
    7   0.159E-03   0.155E-02   0.360E-03
    8   0.116E-03   0.107E-02   0.205E-03
    9   0.715E-04   0.803E-03   0.262E-03

*******   STEP  19      *** NEFF=10 CALCULATION                
    1   0.570E-02   0.150E-01   0.120E-01
    2   0.230E-02   0.148E-01   0.594E-02
    3   0.111E-02   0.888E-02   0.219E-02
    4   0.436E-03   0.530E-02   0.112E-02
    5   0.350E-03   0.360E-02   0.832E-03
    6   0.213E-03   0.231E-02   0.642E-03
    7   0.149E-03   0.155E-02   0.341E-03
    8   0.111E-03   0.109E-02   0.202E-03
    9   0.712E-04   0.819E-03   0.248E-03

*******   STEP  20      *** NEFF=10 CALCULATION                
    1   0.547E-02   0.141E-01   0.112E-01
    2   0.213E-02   0.138E-01   0.543E-02
    3   0.101E-02   0.824E-02   0.198E-02
    4   0.393E-03   0.502E-02   0.105E-02
    5   0.320E-03   0.346E-02   0.782E-03
    6   0.199E-03   0.227E-02   0.601E-03
    7   0.141E-03   0.155E-02   0.324E-03
    8   0.107E-03   0.111E-02   0.200E-03
    9   0.711E-04   0.836E-03   0.235E-03

*******   STEP  21      *** NEFF=10 CALCULATION                
    1   0.524E-02   0.132E-01   0.106E-01
    2   0.198E-02   0.130E-01   0.497E-02
    3   0.914E-03   0.769E-02   0.181E-02
    4   0.357E-03   0.479E-02   0.998E-03
    5   0.294E-03   0.335E-02   0.739E-03
    6   0.187E-03   0.223E-02   0.565E-03
    7   0.134E-03   0.155E-02   0.311E-03
    8   0.103E-03   0.113E-02   0.198E-03
    9   0.712E-04   0.851E-03   0.222E-03

*******   STEP  22      *** NEFF=10 CALCULATION                
    1   0.502E-02   0.124E-01   0.992E-02
    2   0.184E-02   0.123E-01   0.456E-02
    3   0.833E-03   0.720E-02   0.167E-02
    4   0.326E-03   0.459E-02   0.956E-03
    5   0.273E-03   0.325E-02   0.700E-03
    6   0.177E-03   0.219E-02   0.532E-03
    7   0.128E-03   0.155E-02   0.299E-03
    8   0.997E-04   0.114E-02   0.196E-03
    9   0.712E-04   0.863E-03   0.211E-03

*******   STEP  23      *** NEFF=10 CALCULATION                
    1   0.481E-02   0.116E-01   0.932E-02
    2   0.171E-02   0.117E-01   0.419E-02
    3   0.761E-03   0.679E-02   0.156E-02
    4   0.300E-03   0.441E-02   0.924E-03
    5   0.256E-03   0.316E-02   0.667E-03
    6   0.168E-03   0.215E-02   0.502E-03
    7   0.123E-03   0.155E-02   0.289E-03
    8   0.969E-04   0.115E-02   0.194E-03
    9   0.713E-04   0.873E-03   0.201E-03

*******   STEP  24      *** NEFF=10 CALCULATION                
    1   0.461E-02   0.108E-01   0.877E-02
    2   0.159E-02   0.111E-01   0.387E-02
    3   0.698E-03   0.643E-02   0.147E-02
    4   0.278E-03   0.426E-02   0.899E-03
    5   0.242E-03   0.307E-02   0.638E-03
    6   0.161E-03   0.212E-02   0.475E-03
    7   0.118E-03   0.155E-02   0.280E-03
